ID,Name,Address,Telephone,Email
273849,Jude,Achimota,050347589,jude@gmail.com
134378,Derick,Accra,024392826,derick@yahoo.com
576849,Deborah,Weija,054372920,deborah@gmail.com
485934,Sarah,Madina,026334748,sarah@hotmail.com
326458,Luke,Kasoa,030274002,luke@yahoo.com
4643chris,madina,02340001111,tee@ymail.com
4643chris,madina,02340001111,tee@ymail.com
4643chris,madina,02340001111,tee@ymail.com3423,Micheal Ansah,michealch@gmail.com,lancheter,+233-5644
5321,Francis,mainda,233-5433,francs@mail
54332,teee,33ddss,yyrss,faas@tt
